label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
col,134,338,42,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,179,338,39,42,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,220,338,38,42,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,257,338,47,42,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,301,338,41,41,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,345,339,39,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,386,338,39,42,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,430,338,39,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,469,339,38,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,511,339,40,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,553,339,42,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,596,339,38,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,638,339,40,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,681,340,39,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,723,340,36,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,762,339,95,42,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,857,339,105,42,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,959,339,123,43,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,1084,339,82,42,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,1168,337,121,43,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,1291,337,100,42,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,1394,339,98,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,1491,340,102,38,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,1291,422,201,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,134,382,42,39,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,176,382,42,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,218,381,42,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,262,382,39,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,304,383,39,39,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,346,382,38,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,385,382,43,39,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,427,380,43,42,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,472,382,39,39,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,511,383,39,38,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,550,383,45,39,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,592,382,43,39,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,633,382,47,43,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,678,382,40,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,719,385,40,38,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,759,385,98,36,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,857,382,105,39,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,960,378,123,43,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,1083,381,81,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,1166,382,123,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,1292,382,100,38,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,1391,382,102,39,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,1493,381,100,40,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,134,424,40,39,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
col,173,425,46,38,New_GM_Table_Template_IIIT-H_CEGIS2.png,1652,1169
